
MA 200	Multivariable Calculus	Kaushal Verma	Mon, Wed, Fri	3:00 - 4:00
MA 212	Algebra I	Apoorva Khare	Tue, Thu	11:30 - 1:00
MA 216	Introduction to Graph Theory	Arvind Ayyer	Tue, Thu	10:00 - 11:30
MA 219	Linear Algebra	Vamsi Pingali	Tue, Thu	2:00 - 3:30
MA 220	Representation Theory of Finite Groups	Pooja Singla	Tue, Thu	11:30 - 1:00
MA 221	Analysis I: Real Anaysis	Gadadhar Misra	Mon, Wed, Fri	12:00 - 1:00
MA 223	Functional Analysis	S. Thangavelu	Mon, Wed, Fri	10:00 - 11:00
MA 231	Topology	Subhojoy Gupta	Tue, Thu	3:30 - 5: 00
MA 232	Introduction to Algebraic Topology	Siddhartha Gadgil	Tue, Thu	8:30 - 10:00
MA 242	Partial Differential Equations	Thirupathi Gudi	Tue, Thu	10:00 - 11:30
MA 261	Probability Models	Arvind Ayyer	Mon, Wed, Fri	10:00 - 11:00
MA 306	Topics in Morse Theory	Arun Maiti	Mon, Wed, Fri	2:00 - 3:00
MA 328	Introduction to Several Complex Variables	Gautam Bharali	Tue, Thu	2:00 - 3:30
MA 333	Riemannian Geometry	Ved Datar	Tue, Thu	10:00 - 11:30
MA 341	Matrix Analysis & positivity	Apoorva Khare	Tue, Thu	3:30 - 5: 00
MA 349	Topics around the Grothendieck inequality	Gadadhar Misra	Mon, Wed, Fri	9:00 - 10:00
MA 361	Probability Theory	Manjunath Krishnapur	Tue, Thu	3:30 - 5: 00
MA 396	Large Deviations	Anirban Basak	Tue, Thu	2:00 - 3:30
