MA 200	Multivariable Calculus	Subhojoy Gupta	Mon, Wed, Fri	3:00 - 4:00
MA 212	Algebra I	Mahesh Kakde	Mon, Wed, Fri	8:00 - 9:00
MA 219	Linear Algebra	Apoorva Khare	Tue, Thu	8:30 - 10:00
MA 220	Representation Theory of Finite Groups	Shaunak Deo	Tue, Thu	11:30 - 1:00
MA 221	Analysis I: Real Anaysis	Purvi Gupta	Tue, Thu	2:00 - 3:30
MA 223	Functional Analysis	Tirthankar Bhattacharyya	Mon, Wed, Fri	10:00 - 11:00
MA 231	Topology	Siddhartha Gadgil	Mon, Wed, Fri	9:00 - 10:00
MA 232	Introduction to Algebraic Topology	Basudeb Datta	Mon, Wed, Fri	12:00 - 1:00
MA 242	Partial Differential Equations	Swarnendu Sil	Mon, Wed, Fri	2:00 - 3:00
MA 261	Probability Models	Sanchayan Sen	Tue, Thu	3:30 - 5: 00
MA 304	Topics in Harmonic Analysis	Thangavelu	Mon, Wed, Fri	10:00 - 11:00
MA 312	Commutative Algebra	Abhishek Banerjee	Tue, Thu	2:00 - 3:30
MA 315	Lie algebras and their representations	R. Venkaesh	Tue, Thu	3:30 - 5: 00
MA 323	Operator Theory	Srijan Sarkar (DST-INSPIRE)	Mon, Wed, Fri	3:00 - 4:00
MA 326	Fourier Analysis	Manjunath Krishnapur	Mon, Wed, Fri	12:00 - 1:00
MA 328	Introduction to Several Complex Variables	E. K. Narayanan	Tue, Thu	8:30 - 10:00
MA 333	Remannian Geometry	Ved Datar	Tue, Thu	10:00 - 11:30
MA 350	Topics in Analytic Number Theory	Soumya Das	Tue, Thu	3:30 - 5: 00
MA 353	Elliptic Curves	Radhika Ganapathy	Tue, Thu	8:30 - 10:00
MA 361	Probability Theory	Srikanth Iyer	Tue, Thu	11:30 - 1:00
