 	MA 215	MA 223	MA 232	MA 242	MA 307	MA 312	MA 313	MA 315	MA 328	MA 333	MA 361	MA 368	MA 388
MA 215	6	0	0	0	2	3	1	3	1	0	0	0	0
MA 223	0	3	1	2	1	1	0	1	0	1	1	2	0
MA 232	0	1	7	1	1	5	2	2	0	0	1	2	1
MA 242	0	2	1	4	0	3	0	1	0	0	1	2	0
MA 307	2	1	1	0	11	3	1	2	5	5	1	0	0
MA 312	3	1	5	3	3	12	3	5	0	0	2	1	0
MA 313	1	0	2	0	1	3	4	1	0	0	0	0	0
MA 315	3	1	2	1	2	5	1	9	1	2	1	0	0
MA 328	1	0	0	0	5	0	0	1	6	2	1	0	0
MA 333	0	1	0	0	5	0	0	2	2	7	0	0	1
MA 361	0	1	1	1	1	2	0	1	1	0	11	2	0
MA 368	0	2	2	2	0	1	0	0	0	0	2	7	0
MA 388	0	0	1	0	0	0	0	0	0	1	0	0	2
