MA 200	Multivariable Calculus	E. K. Narayanan	Mon, Wed, Fri	9:00 - 10:00
MA 219	Linear Algebra	Apoorva Khare	Tue, Thu	10:00 - 11:30
MA 221	Analysis I: Real Analysis	Thirupathi Gudi	Mon, Wed, Fri	11:00 - 12:00
MA 223	Functional Analysis	Swarnendu Sil	Mon, Wed, Fri	2:00 - 3:00
MA 231	Topology	Siddhartha Gadgil	Tue, Thu	8:30 - 10:00
MA 242	Partial Differential Equations	Arka Mallick	Mon, Wed, Fri	10:00 - 11:00
MA 312	Commutative Algebra	Bharathwaj Palvannan	Tue, Thu	11:30 - 1:00
MA 313	Algebraic Number Theory	Radhika Ganapathy	Tue, Thu	8:30 - 10:00
MA 315	Lie Algebras and their Representations	R. Venkatesh / Shushma Rani	Tue, Thu	2:00 - 3:30
MA 333	Riemannian Geometry	Ved Datar	Tue, Thu	10:00 - 11:30
MA 339	Geometric Analysis	Vamsi Pritham Pingali	Tue, Thu	3:30 - 5: 00
MA 341	Matrix Analysis and Positivity	Apoorva Khare	Tue, Thu	2:00 - 3:30
MA 361	Probability Theory	Srikanth K. Iyer	Tue, Thu	11:30 - 1:00
MA 3xx	Schubert Calculus	Arvind Ayyer	Tue, Thu	3:30 - 5: 00
