MA 210	Logic, Types & Spaces	Siddhartha Gadgil	Tue, Thu	8:30 - 10:00
MA 213	Algebra II	Soumya Das	Tue, Thu	11:30 - 1:00
MA 222	Measure & Integration	E. K. Narayanan	Mon, Wed, Fri	9:00 - 10:00
MA 224	Complex Analysis	S. Thangavelu	Mon, Wed, Fri	10:00 - 11:00
MA 229	Calculus on Manifolds	Subhojoy Gupta	Tue, Thu	11:30 - 1:00
MA 241	Ordinary Differential Equations	Thirupathi Gudi	Tue, Thu	10:00 - 11:30
MA 311	Algebraic Geometry II	Abhishek Banerjee	Tue, Thu	2:00 - 3:30
MA 316	Introduction to Homological Algebra	Safdar Quddus	Tue, Thu	10:00 - 11:30
MA 319	Algebraic Combinatorics	Arvind Ayyer	Tue, Thu	3:30 - 5: 00
MA 326	Fourier Anaysis	E.K. Narayanan	Tue, Thu	8:30 - 10:00
MA 327	Topics in Analysis	Manjunath Krishnapur	Tue, Thu	3:30 - 5: 00
MA 332	Algebraic Topology	Arun Maiti	Mon, Wed, Fri	11:00 - 12:00
MA 338	Differentiable Manifolds & Lie Groups	Harish Seshadri	Tue, Thu	11:30 - 1:00
MA 343	Complex analytic techniques in Operator Theory	Tirthankar Bhattacharyya	Mon, Wed, Fri	10:00 - 11:00
MA 362	Stochastic Processes	Srikanth Iyer	Tue, Thu	11:30 - 1:00
MA 366	Stochastic Finance II	Mrinal K. Ghosh	Tue, Thu	3:30 - 5: 00
MA 384	Mathematical Physics	Kaushal Verma	Mon, Wed, Fri	3:00 - 4:00
MA 385	Classical Groups	Pooja Singla	Tue, Thu	11:30 - 1:00
MA 393	Topics in random discrete structures	Sanchayan Sen	Tue, Thu	2:00 - 3:30
