 	MA 216	MA 218	MA 220	MA 262	MA 316	MA 319	MA 321	MA 325	MA 327	MA 332	MA 340	MA 357	MA 358	MA 358A	MA 366
MA 216	5	0	2	0	0	2	0	0	1	1	0	0	0	0	2
MA 218	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
MA 220	2	1	14	1	4	3	0	0	2	1	1	1	3	1	1
MA 262	0	0	1	4	0	0	0	0	2	0	0	0	0	0	0
MA 316	0	0	4	0	9	1	0	0	0	1	0	4	5	5	0
MA 319	2	0	3	0	1	5	0	0	1	1	0	1	1	0	1
MA 321	0	0	0	0	0	0	8	1	1	2	3	0	0	0	0
MA 325	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
MA 327	1	0	2	2	0	1	1	0	8	0	3	0	1	0	1
MA 332	1	0	1	0	1	1	2	0	0	9	0	1	1	1	0
MA 340	0	0	1	0	0	0	3	0	3	0	5	0	0	0	0
MA 357	0	0	1	0	4	1	0	0	0	1	0	9	5	4	2
MA 358	0	0	3	0	5	1	0	0	1	1	0	5	11	8	0
MA 358A	0	0	1	0	5	0	0	0	0	1	0	4	8	8	0
MA 366	2	0	1	0	0	1	0	0	1	0	0	2	0	0	6
