 	MA 218	MA 220	MA 222A	MA 237	MA 262	MA 305	MA 321	MA 326	MA 340	MA 347A	MA 362	MA 366A	MA 374A	MA 379	MA 394
MA 218	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0
MA 220	0	9	0	1	1	1	0	2	0	0	0	0	0	4	0
MA 222A	0	0	4	0	0	0	3	1	1	0	2	1	1	0	1
MA 237	1	1	0	5	1	2	0	1	0	1	0	0	1	0	1
MA 262	0	1	0	1	13	1	0	0	0	0	4	4	0	0	2
MA 305	0	1	0	2	1	7	0	2	1	0	1	0	2	2	0
MA 321	0	0	3	0	0	0	5	0	1	0	2	1	1	0	1
MA 326	0	2	1	1	0	2	0	5	1	0	0	0	2	3	0
MA 340	0	0	1	0	0	1	1	1	3	0	0	0	0	1	1
MA 347A	1	0	0	1	0	0	0	0	0	2	0	0	1	0	0
MA 362	0	0	2	0	4	1	2	0	0	0	11	5	1	0	4
MA 366A	0	0	1	0	4	0	1	0	0	0	5	15	0	0	1
MA 374A	0	0	1	1	0	2	1	2	0	1	1	0	5	0	0
MA 379	0	4	0	0	0	2	0	3	1	0	0	0	0	8	0
MA 394	0	0	1	1	2	0	1	0	1	0	4	1	0	0	7
