Manjunath Krishnapur	18
Siddhartha Gadgil	14
Arvind Ayyer	14
Subhojoy Gupta	13
Srikanth Iyer	13
Abhishek Banerjee	12
Gautam Bharali	12
UG Coordinator	12
Tirthankar Bhattacharyya	12
Soumya Das	11
S. Thangavelu	11
Apoorva Khare	11
Harish Seshadri	11
Vamsi Pingali	11
Sanchayan Sen	10
Ved Datar	10
E. K. Narayanan	9
Radhika Ganapathy	9
A. K. Nandakumaran	8
Purvi Gupta	7
Swarnendu Sil	6
Mahesh Kakde	6
Shaunak Deo	6
R. Venkatesh	6
Basudeb Datta	5
Thirupathi Gudi	5
Pooja Singla	5
Kaushal Verma	4
Arka Mallick	4
Bharathwaj Palvannan	4
Gadadhar Misra	4
Mrinal K. Ghosh	4
Amalendu Krishna	3
T. Gudi	3
Janaki Balakrishnan	3
Dilip Patil	2
Arun Maiti	2
E.K.Narayanan	2
Safdar Quddus	2
Anirban Basak	2
R. Venkatesh/Apoorva Khare	1
R. Venkatesh and Apoorva Khare	1
Apoorva Khare and R. Venkatesh	1
Rahul Singh	1
Vamsi Pritham Pingali	1
Sunadaram Thangavelu/R. Venkatesh	1
Gautam Bharaali	1
Mihir Sheth	1
Gadadhar Misra / Surjit Kumar	1
R. Venkaesh	1
Shivani Goel/Arvind Ayyer	1
Surjit Kumar	1
Riddhipratim Basu (ICTS)	1
Mahesh Kakde and Soumya Das	1
Riddhipratim Basu	1
R.Venkatesh	1
Amit Apte	1
Srijan Sarkar (DST-INSPIRE)	1
Rukmini Dey / Kaushal Verma.	1
E.K. Narayanan	1
Govindan Rangarajan & Janaki Balakrishnan	1
A.K.Nandakumaran	1
M. K. Ghosh	1
Kamal Lodaya	1
G. Rangarajan	1
Pranav Pandit	1
Dilip P. Patil	1
Siva Athreya	1
Ignazio Longhi	1
